city,state,lat,lon,population
Abanda CDP,AL,33.091627,-85.527029,0
Abbeville city,AL,31.564706,-85.259121,0
Adamsville city,AL,33.602315,-86.971527,0
Addison town,AL,34.202681,-87.178004,0
Akron town,AL,32.879066,-87.740899,0
Alabaster city,AL,33.214355,-86.82308,0
Albertville city,AL,34.26313,-86.21066,0
Alexander City city,AL,32.916719,-85.940589,0
Alexandria CDP,AL,33.760819,-85.872008,0
Aliceville city,AL,33.123706,-88.159344,0
Allgood town,AL,33.907623,-86.516109,0
Altoona town,AL,34.040014,-86.305179,0
Andalusia city,AL,31.309436,-86.478031,0
Anderson town,AL,34.915675,-87.274274,0
Anniston city,AL,33.673469,-85.810891,0
Arab city,AL,34.332387,-86.501167,0
Ardmore town,AL,34.987838,-86.829022,0
Argo city,AL,33.691018,-86.505281,0
Ariton town,AL,31.597772,-85.713061,0
Arley town,AL,34.076234,-87.217831,0
Ashford city,AL,31.185284,-85.236236,0
Ashland town,AL,33.269892,-85.833706,0
Ashville city,AL,33.835197,-86.270015,0
Athens city,AL,34.779021,-86.950799,0
Atmore city,AL,31.124067,-87.457798,0
Attalla city,AL,33.986189,-86.121037,0
Auburn city,AL,32.607806,-85.494746,0
Autaugaville town,AL,32.432563,-86.658752,0
Avon town,AL,31.179727,-85.279211,0
Axis CDP,AL,30.922171,-88.02262,0
Babbie town,AL,31.302083,-86.319437,0
Baileyton town,AL,34.260858,-86.608788,0
Bakerhill town,AL,31.776923,-85.295408,0
Ballplay CDP,AL,34.023047,-85.801478,0
Banks town,AL,31.813264,-85.836434,0
Bay Minette city,AL,30.894436,-87.791306,0
Bayou La Batre city,AL,30.407586,-88.263271,0
Bear Creek town,AL,34.255481,-87.713399,0
Beatrice town,AL,31.733309,-87.209046,0
Beaverton town,AL,33.935411,-88.021778,0
Belgreen CDP,AL,34.47454,-87.861678,0
Belk town,AL,33.651641,-87.92861,0
Bellamy CDP,AL,32.463658,-88.131481,0
Belle Fontaine CDP,AL,30.489492,-88.10594,0
Benton town,AL,32.307931,-86.817546,0
Berlin town,AL,34.185005,-86.748955,0
Berry town,AL,33.666702,-87.609311,0
Bessemer city,AL,33.370858,-86.971522,0
Billingsley town,AL,32.664711,-86.706713,0
Birmingham city,AL,33.527174,-86.797036,0
Black town,AL,31.00977,-85.74442,0
Blountsville town,AL,34.075838,-86.583918,0
Blue Ridge CDP,AL,32.4989,-86.182436,0
Blue Springs town,AL,31.663516,-85.503526,0
Boaz city,AL,34.19902,-86.155151,0
Boligee town,AL,32.768081,-88.02859,0
Bon Air town,AL,33.259355,-86.327175,0
Bon Secour CDP,AL,30.318246,-87.72439,0
Boykin CDP,AL,32.068375,-87.294343,0
Brantley town,AL,31.581992,-86.256784,0
Brantleyville CDP,AL,33.219303,-86.882522,0
Brent city,AL,32.944893,-87.172088,0
Brewton city,AL,31.109175,-87.076583,0
Bridgeport city,AL,34.949312,-85.723765,0
Brighton city,AL,33.439551,-86.945404,0
Brilliant town,AL,34.025671,-87.769047,0
Bristow Cove CDP,AL,34.109216,-86.240993,0
Brook Highland CDP,AL,33.438035,-86.685262,0
Brookside town,AL,33.634617,-86.906314,0
Brookwood town,AL,33.239842,-87.331488,0
Broomtown CDP,AL,34.365728,-85.532112,0
Brundidge city,AL,31.717639,-85.81755,0
Bucks CDP,AL,31.016881,-88.026385,0
Butler town,AL,32.096479,-88.210781,0
Calera city,AL,33.122319,-86.745644,0
Calvert CDP,AL,31.149898,-88.021549,0
Camden city,AL,31.998493,-87.28895,0
Camp Hill town,AL,32.797327,-85.655833,0
Carbon Hill city,AL,33.894991,-87.522078,0
Cardiff town,AL,33.64729,-86.930637,0
Carlisle-Rockledge CDP,AL,34.114451,-86.124073,0
Carlton CDP,AL,31.348571,-87.835666,0
Carolina town,AL,31.23415,-86.521001,0
Carrollton town,AL,33.261903,-88.095071,0
Castleberry town,AL,31.299678,-87.029129,0
Catherine CDP,AL,32.18617,-87.469978,0
Cedar Bluff town,AL,34.221422,-85.588565,0
Center Point city,AL,33.643903,-86.684567,0
Centre city,AL,34.153059,-85.671683,0
Centreville city,AL,32.958967,-87.132043,0
Chatom town,AL,31.469145,-88.246019,0
Chelsea city,AL,33.309007,-86.635139,0
Cherokee town,AL,34.7577,-87.965589,0
Cherokee Ridge town,AL,34.420931,-86.563316,0
Chickasaw city,AL,30.77145,-88.079697,0
Childersburg city,AL,33.292558,-86.340864,0
Choccolocco CDP,AL,33.667728,-85.707191,0
Chunchula CDP,AL,30.927194,-88.2082,0
Citronelle city,AL,31.097269,-88.249843,0
Clanton city,AL,32.845572,-86.619494,0
Clay city,AL,33.696583,-86.608182,0
Clayhatchee town,AL,31.236925,-85.721478,0
Clayton city,AL,31.882277,-85.460454,0
Cleveland town,AL,34.002179,-86.561352,0
Clio city,AL,31.708516,-85.611039,0
Coaling city,AL,33.169901,-87.349887,0
Coats Bend CDP,AL,34.073273,-85.874602,0
Coffee Springs town,AL,31.165836,-85.910898,0
Coffeeville town,AL,31.766564,-88.086049,0
Coker town,AL,33.243752,-87.681329,0
Collinsville city,AL,34.267224,-85.86861,0
Colony town,AL,33.941393,-86.902001,0
Columbia town,AL,31.295351,-85.110202,0
Columbiana city,AL,33.191452,-86.615618,0
Concord CDP,AL,33.461988,-87.040429,0
Coosada town,AL,32.495394,-86.326543,0
Cordova town,AL,33.761788,-87.199416,0
Cottondale CDP,AL,33.193047,-87.454861,0
Cottonwood town,AL,31.054033,-85.29956,0
County Line town,AL,33.818902,-86.714706,0
Courtland town,AL,34.669946,-87.327892,0
Cowarts town,AL,31.206248,-85.309769,0
Creola town,AL,30.874249,-88.009536,0
Crossville town,AL,34.282697,-85.999737,0
Cuba town,AL,32.440733,-88.374798,0
Cullman city,AL,34.17687,-86.840656,0
Cullomburg CDP,AL,31.713061,-88.291774,0
Cusseta town,AL,32.787637,-85.305769,0
Dadeville city,AL,32.826114,-85.776201,0
Daleville city,AL,31.291534,-85.711711,0
Daphne city,AL,30.627931,-87.872087,0
Dauphin Island town,AL,30.250913,-88.171268,0
Daviston town,AL,33.056839,-85.634329,0
Dayton town,AL,32.350958,-87.641573,0
Deatsville town,AL,32.589044,-86.389059,0
Decatur city,AL,34.572995,-86.989901,0
Deer Park CDP,AL,31.218369,-88.328023,0
Delta CDP,AL,33.440524,-85.675905,0
Demopolis city,AL,32.499744,-87.826678,0
Detroit town,AL,34.027379,-88.167831,0
Dodge City town,AL,34.043275,-86.885524,0
Dora city,AL,33.728116,-87.081292,0
Dothan city,AL,31.233698,-85.406823,0
Double Springs town,AL,34.149648,-87.389447,0
Douglas town,AL,34.168258,-86.323386,0
Dozier town,AL,31.505407,-86.369235,0
Dunnavant CDP,AL,33.495171,-86.540245,0
Dutton town,AL,34.606152,-85.91185,0
Eagle Point CDP,AL,33.400912,-86.676753,0
East Brewton city,AL,31.09144,-87.055345,0
East Point CDP,AL,34.19121,-86.792253,0
Eclectic town,AL,32.640222,-86.041062,0
Edgewater CDP,AL,33.530099,-86.95279,0
Edwardsville town,AL,33.88374,-85.414124,0
Egypt CDP,AL,34.075938,-86.165054,0
Elba city,AL,31.417218,-86.077115,0
Elberta town,AL,30.373753,-87.595729,0
Eldridge town,AL,33.923053,-87.622869,0
Elkmont town,AL,34.932604,-86.976971,0
Elmore town,AL,32.556606,-86.341025,0
Emelle town,AL,32.728678,-88.316486,0
Emerald Mountain CDP,AL,32.447694,-86.094381,0
Enterprise city,AL,31.325529,-85.846071,0
Epes town,AL,32.695049,-88.141963,0
Equality CDP,AL,32.765659,-86.123185,0
